NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HOXB2	1	HOXB2	
LETM1P2	1	LETM1P2	
PRR18	1	PRR18	
PRR12	1	PRR12	
PRR11	1	PRR11	
LINS1	1	LINS1	
PRR14	1	PRR14	
PRR13	1	PRR13	
CDC42SE1	1	CDC42SE1	
HOXD1	1	HOXD1	
ENDOD1	1	ENDOD1	
SNU13	1	SNU13	
SKA3	1	SKA3	
HIF1A	1	HIF1A	
SKA1	1	SKA1	
SKA2	1	SKA2	
POU5F1B	1	POU5F1B	
HOXC5	1	HOXC5	
HOXC4	1	HOXC4	
PRR29	1	PRR29	
HOXC9	1	HOXC9	
HOXC8	1	HOXC8	
KIAA0319L	1	KIAA0319L	
PRR22	1	PRR22	
RREB1	1	RREB1	
ELANE	1	ELANE	
NXNL2	1	NXNL2	
HOXC6	1	HOXC6	
MAD2L1BP	1	MAD2L1BP	
MTHFR	1	MTHFR	
MTHFS	1	MTHFS	
OR5P3	1	OR5P3	
INO80	1	INO80	
OR5P2	1	OR5P2	
SOX30	1	SOX30	
GLUD1	1	GLUD1	
GLUD2	1	GLUD2	
TNFSF4	1	TNFSF4	
H2BP1	1	HIST2H2BA	
ZNF702P	1	ZNF702P	
TNFSF9	1	TNFSF9	
UNC119	1	UNC119	
HOXD4	1	HOXD4	
HOXD3	1	HOXD3	
HOXD9	1	HOXD9	
HOXD8	1	HOXD8	
PRR36	1	PRR36	
CDC42SE2	1	CDC42SE2	
TINAGL1	1	TINAGL1	
HIF3A	1	HIF3A	
CYB561D1	1	CYB561D1	
ING1	1	ING1	
CYB561D2	1	CYB561D2	
FAM90A2P	1	FAM90A2P	
ING4	1	ING4	
ING5	1	ING5	
ING2	1	ING2	
ING3	1	ING3	
PAXX	1	PAXX	
SANBR	1	KIAA1841	
BATF2	1	BATF2	
BATF3	1	BATF3	
CNTD1	1	CNTD1	
HSBP1	1	HSBP1	
TNNC1	1	TNNC1	
TNNC2	1	TNNC2	
PAWR	1	PAWR	
PAX3	1	PAX3	
PAX6	1	PAX6	
INF2	1	INF2	
PAX8	1	PAX8	
ZNF833P	1	ZNF833P	
PAX9	1	PAX9	
CTDP1	1	CTDP1	
AHNAK	1	AHNAK	
UBQLN4P1	1	UBQLN4P1	
TM9SF4	1	TM9SF4	
TM9SF3	1	TM9SF3	
METTL7B	1	METTL7B	
METTL7A	1	METTL7A	
WWOX	1	WWOX	
ADAT1	1	ADAT1	
WWP1	1	WWP1	
WWP2	1	WWP2	
ADAT3	1	ADAT3	
MZT1	1	MZT1	
ADAT2	1	ADAT2	
KTN1	1	KTN1	
TM9SF2	1	TM9SF2	
TM9SF1	1	TM9SF1	
INGX	1	INGX	
STING1	1	TMEM173	
ZYX	1	ZYX	
NOTUM	1	NOTUM	
INHA	1	INHA	
CYB561	1	CYB561	
GHDC	1	GHDC	
TOR2A	1	TOR2A	
CLSTN2	1	CLSTN2	
CLSTN3	1	CLSTN3	
CLSTN1	1	CLSTN1	
RTKN2	1	RTKN2	
BZW2	1	BZW2	
BZW1	1	BZW1	
PYCARD	1	PYCARD	
TUBB8	1	TUBB8	
TUBB6	1	TUBB6	
TUBB3	1	TUBB3	
TUBB1	1	TUBB1	
SMARCAD1	1	SMARCAD1	
H2BU1	1	HIST3H2BB	
STK32A	1	STK32A	
STK32B	1	STK32B	
STK32C	1	STK32C	
TOR3A	1	TOR3A	
CYB561A3	1	CYB561A3	
INIP	1	INIP	
RALGAPB	1	RALGAPB	
ADAM9	1	ADAM9	
ADAM8	1	ADAM8	
TNIK	1	TNIK	
RHCG	1	RHCG	
INTS6L	1	INTS6L	
RHCE	1	RHCE	
METTL2B	1	METTL2B	
DNMT1	1	DNMT1	
MINDY3	1	MINDY3	
MINDY4	1	MINDY4	
RTL10	1	RTL10	
FECH	1	FECH	
MINDY1	1	MINDY1	
MINDY2	1	MINDY2	
TNKS	1	TNKS	
METTL2A	1	METTL2A	
ITPRIPL2	1	ITPRIPL2	
ADAP2	1	ADAP2	
ITPRIPL1	1	ITPRIPL1	
PITRM1	1	PITRM1	
SKIL	1	SKIL	
PPAN-P2RY11	1	PPAN-P2RY11	
TOR1A	1	TOR1A	
CEP350	1	CEP350	
TNK2	1	TNK2	
TNK1	1	TNK1	
ADAP1	1	ADAP1	
TOR1B	1	TOR1B	
RHEB	1	RHEB	
SERINC1	1	SERINC1	
SERINC3	1	SERINC3	
SERINC2	1	SERINC2	
SERINC5	1	SERINC5	
SERINC4	1	SERINC4	
TUBA8	1	TUBA8	
DAGLA	1	DAGLA	
SNX18P7	1	SNX18P7	
SCPEP1	1	SCPEP1	
METTL14	1	METTL14	
METTL13	1	EEF1AKNMT	
METTL16	1	METTL16	
METTL15	1	METTL15	
UQCRFS1P1	1	UQCRFS1P1	
METTL18	1	METTL18	
METTL17	1	METTL17	
ELAC2	1	ELAC2	
ELAC1	1	ELAC1	
ASMTL	1	ASMTL	
INMT	1	INMT	
METTL23	1	METTL23	
DMRTA2	1	DMRTA2	
METTL22	1	METTL22	
METTL25	1	METTL25	
METTL24	1	METTL24	
DMRTA1	1	DMRTA1	
RPL21P3	1	RPL21P3	
DUX4L9	1	DUX4L9	
TESMIN	1	TESMIN	
SLC25A36P1	1	SLC25A36P1	
DAGLB	1	DAGLB	
METTL27	1	METTL27	
METTL26	1	METTL26	
PRR5L	1	PRR5L	
OR7E125P	1	OR7E125P	
CHADL	1	CHADL	
P2RX5-TAX1BP3	1	P2RX5-TAX1BP3	
TNNI1	1	TNNI1	
ETFRF1	1	ETFRF1	
TNNI3	1	TNNI3	
CTNNAL1	1	CTNNAL1	
TP53RK	1	TP53RK	
DNM1P51	1	DNM1P51	
HSF2BP	1	HSF2BP	
ANTXR2	1	ANTXR2	
ANTXR1	1	ANTXR1	
CCT6B	1	CCT6B	
DNM1P46	1	DNM1P46	
DNM1P47	1	DNM1P47	
INSC	1	INSC	
SAP130	1	SAP130	
RPS7P1	1	RPS7P1	
CHAC2	1	CHAC2	
CHAC1	1	CHAC1	
SKP2	1	SKP2	
TNS4	1	TNS4	
TNS3	1	TNS3	
RPS7P3	1	RPS7P3	
TNS2	1	TNS2	
SKP1	1	SKP1	
TNS1	1	TNS1	
TMEM52B	1	TMEM52B	
NFKBIL1	1	NFKBIL1	
SACM1L	1	SACM1L	
EBF1	1	EBF1	
EBF2	1	EBF2	
UBA52P6	1	UBA52P6	
EBF3	1	EBF3	
EBF4	1	EBF4	
RUNX3	1	RUNX3	
RUNX2	1	RUNX2	
RUNX1	1	RUNX1	
BAK1P1	1	BAK1P1	
MARF1	1	MARF1	
ANTXRL	1	ANTXRL	
ALDH7A1	1	ALDH7A1	
RWDD2B	1	RWDD2B	
RWDD2A	1	RWDD2A	
INTU	1	INTU	
EBI3	1	EBI3	
PRRC1	1	PRRC1	
RFPL4B	1	RFPL4B	
GOLGA8IP	1	GOLGA8IP	
GSTT2B	1	GSTT2B	
TMEM50A	1	TMEM50A	
INSR	1	INSR	
LINC01085	1	LINC01085	
TMEM50B	1	TMEM50B	
CIDEA	1	CIDEA	
SENP3-EIF4A1	1	SENP3-EIF4A1	
AMMECR1	1	AMMECR1	
CIDEB	1	CIDEB	
NOTCH2NLA	1	NOTCH2NLA	
CIDEC	1	CIDEC	
TMSB4XP4	1	TMSB4XP4	
CCT6A	1	CCT6A	
TMSB4XP2	1	TMSB4XP2	
GPAA1P1	1	GPAA1P1	
RTL8A	1	RTL8A	
GPAA1P2	1	GPAA1P2	
OR6A2	1	OR6A2	
RTL8B	1	RTL8B	
RTL8C	1	RTL8C	
INVS	1	INVS	
HBS1L	1	HBS1L	
FEN1	1	FEN1	
EPB41L4B	1	EPB41L4B	
EPB41L4A	1	EPB41L4A	
UCHL1	1	UCHL1	
NKIRAS1	1	NKIRAS1	
PCF11	1	PCF11	
NKIRAS2	1	NKIRAS2	
CAMLG	1	CAMLG	
RHOG	1	RHOG	
RHOH	1	RHOH	
IL17RE	1	IL17RE	
RHOF	1	RHOF	
TUBG2	1	TUBG2	
IL17RD	1	IL17RD	
RHOC	1	RHOC	
TUBG1	1	TUBG1	
UCHL3	1	UCHL3	
IL17RC	1	IL17RC	
RHOD	1	RHOD	
IL17RB	1	IL17RB	
RHOA	1	RHOA	
UCHL5	1	UCHL5	
IL17RA	1	IL17RA	
RHOB	1	RHOB	
TNNT1	1	TNNT1	
MMP23B	1	MMP23B	
TNNT2	1	TNNT2	
RHOJ	1	RHOJ	
RHOU	1	RHOU	
RHOV	1	RHOV	
RHOQ	1	RHOQ	
DAP3P2	1	DAP3P2	
OPRD1	1	OPRD1	
TOR4A	1	TOR4A	
EIF4A2P1	1	EIF4A2P1	
EIF4A2P2	1	EIF4A2P2	
TNXB	1	TNXB	
TUBD1	1	TUBD1	
PBLD	1	PBLD	
SUDS3P1	1	SUDS3P1	
KIAA0753	1	KIAA0753	
MTCO2P12	1	MTCO2P12	
MTCO2P11	1	MTCO2P11	
TBL1X	1	TBL1X	
RANBP2	1	RANBP2	
RANBP1	1	RANBP1	
RANBP3	1	RANBP3	
RANBP9	1	RANBP9	
TUBE1	1	TUBE1	
RANBP6	1	RANBP6	
RSL1D1	1	RSL1D1	
DNM1P34	1	DNM1P34	
CAMK4	1	CAMK4	
R3HCC1	1	R3HCC1	
B9D1	1	B9D1	
GHRL	1	GHRL	
B9D2	1	B9D2	
CAMK1	1	CAMK1	
EIF2S2P3	1	EIF2S2P3	
EIF2S2P4	1	EIF2S2P4	
STEAP3	1	STEAP3	
EIF2S2P2	1	EIF2S2P2	
STEAP4	1	STEAP4	
GOLT1B	1	GOLT1B	
GOLT1A	1	GOLT1A	
ARHGAP39	1	ARHGAP39	
SSC4D	1	SSC4D	
NALF2	1	FAM155B	
NALF1	1	FAM155A	
ARHGAP35	1	ARHGAP35	
ARHGAP44	1	ARHGAP44	
ARHGAP42	1	ARHGAP42	
BASP1	1	BASP1	
AK4P1	1	AK4P1	
PDIA3	1	PDIA3	
PDIA2	1	PDIA2	
NPY1R	1	NPY1R	
PDIA6	1	PDIA6	
LGALS9C	1	LGALS9C	
PDIA5	1	PDIA5	
LGALS9B	1	LGALS9B	
PDIA4	1	PDIA4	
CMPK1	1	CMPK1	
CMPK2	1	CMPK2	
LRIF1	1	LRIF1	
STEAP1	1	STEAP1	
STEAP2	1	STEAP2	
BTF3L4	1	BTF3L4	
ARHGAP19	1	ARHGAP19	
ARHGAP18	1	ARHGAP18	
ARHGAP17	1	ARHGAP17	
ARHGAP15	1	ARHGAP15	
SEZ6L2	1	SEZ6L2	
NALCN	1	NALCN	
ARHGAP12	1	ARHGAP12	
ARHGAP22	1	ARHGAP22	
ARHGAP21	1	ARHGAP21	
ARHGAP20	1	ARHGAP20	
MAN2A2	1	MAN2A2	
MAN2A1	1	MAN2A1	
RPL7L1P9	1	RPL7L1P9	
MARK4	1	MARK4	
RPL7L1P3	1	RPL7L1P3	
MARK3	1	MARK3	
MARK2	1	MARK2	
MARK1	1	MARK1	
RAP1GAP2	1	RAP1GAP2	
ALYREF	1	ALYREF	
ASPSCR1	1	ASPSCR1	
TDRD9	1	TDRD9	
ARHGAP29	1	ARHGAP29	
ARHGAP28	1	ARHGAP28	
SSC5D	1	SSC5D	
TDRD7	1	TDRD7	
ARHGAP27	1	ARHGAP27	
TDRD6	1	TDRD6	
ARHGAP26	1	ARHGAP26	
ARHGAP25	1	ARHGAP25	
ARHGAP24	1	ARHGAP24	
NMRAL1	1	NMRAL1	
TDRD3	1	TDRD3	
ARHGAP23	1	ARHGAP23	
ARHGAP33	1	ARHGAP33	
ARHGAP32	1	ARHGAP32	
ARHGAP31	1	ARHGAP31	
ARHGAP30	1	ARHGAP30	
DNMBP	1	DNMBP	
TP53I3	1	TP53I3	
BMPR1AP2	1	BMPR1AP2	
MAN2B2	1	MAN2B2	
EBPL	1	EBPL	
MAN2B1	1	MAN2B1	
ULBP2	1	ULBP2	
ULBP1	1	ULBP1	
ULBP3	1	ULBP3	
PNPT1P1	1	PNPT1P1	
MADCAM1	1	MADCAM1	
MAN2C1	1	MAN2C1	
SUMO2P1	1	SUMO2P1	
DESI1	1	DESI1	
DESI2	1	DESI2	
MARS2	1	MARS2	
MARS1	1	MARS	
URB2	1	URB2	
URB1	1	URB1	
ARHGAP10	1	ARHGAP10	
ITGB1BP1	1	ITGB1BP1	
ITGB1BP2	1	ITGB1BP2	
BTF3P6	1	BTF3P6	
NPY4R	1	NPY4R	
MOSPD2	1	MOSPD2	
OPRL1	1	OPRL1	
MOSPD1	1	MOSPD1	
MTIF2	1	MTIF2	
MOSPD3	1	MOSPD3	
MTIF3	1	MTIF3	
TOB2	1	TOB2	
TOB1	1	TOB1	
PRRG4	1	PRRG4	
NT5DC1	1	NT5DC1	
NT5DC2	1	NT5DC2	
PRRG2	1	PRRG2	
NT5DC3	1	NT5DC3	
PRRG1	1	PRRG1	
LRIG1	1	LRIG1	
LRIG3	1	LRIG3	
LRIG2	1	LRIG2	
DUXAP10	1	DUXAP10	
GOLGA8UP	1	GOLGA8UP	
SHCBP1	1	SHCBP1	
PIKFYVE	1	PIKFYVE	
GNPDA1	1	GNPDA1	
GNPDA2	1	GNPDA2	
SSBP1	1	SSBP1	
SSBP2	1	SSBP2	
SSBP3	1	SSBP3	
SSBP4	1	SSBP4	
NUP107	1	NUP107	
ZNF625-ZNF20	1	ZNF625-ZNF20	
PWWP2B	1	PWWP2B	
TEX45	1	TEX45	
SPINT2	1	SPINT2	
ALKBH7	1	ALKBH7	
SLA2	1	SLA2	
ALKBH6	1	ALKBH6	
ALKBH8	1	ALKBH8	
ALKBH3	1	ALKBH3	
ALKBH2	1	ALKBH2	
ALKBH5	1	ALKBH5	
ALKBH4	1	ALKBH4	
DPYSL4	1	DPYSL4	
DPYSL5	1	DPYSL5	
KIAA1586	1	KIAA1586	
ALKBH1	1	ALKBH1	
DPYSL2	1	DPYSL2	
DPYSL3	1	DPYSL3	
FGFR1OP2	1	FGFR1OP2	
GPBP1	1	GPBP1	
PWWP2A	1	PWWP2A	
VSTM4	1	VSTM4	
VSTM5	1	VSTM5	
FNBP4	1	FNBP4	
SAP30BP	1	SAP30BP	
FNBP1	1	FNBP1	
CACNA2D1	1	CACNA2D1	
CACNA2D3	1	CACNA2D3	
CACNA2D2	1	CACNA2D2	
CACNA2D4	1	CACNA2D4	
ABITRAM	1	ABITRAM	
FAM185BP	1	FAM185BP	
SPINT1	1	SPINT1	
ASPHD1	1	ASPHD1	
FEZ1	1	FEZ1	
FEZ2	1	FEZ2	
PLBD1	1	PLBD1	
TCEANC2	1	TCEANC2	
TXNIP	1	TXNIP	
ASPHD2	1	ASPHD2	
CLOCK	1	CLOCK	
PLBD2	1	PLBD2	
SLBP	1	SLBP	
URI1	1	URI1	
SAR1A	1	SAR1A	
SAR1B	1	SAR1B	
TEX22	1	TEX22	
ZC3HAV1	1	ZC3HAV1	
TEX29	1	TEX29	
PRPSAP1	1	PRPSAP1	
PRPSAP2	1	PRPSAP2	
HLCS	1	HLCS	
MOV10L1	1	MOV10L1	
ATRIP	1	ATRIP	
TOE1	1	TOE1	
BTBD19	1	BTBD19	
CREBBP	1	CREBBP	
TEX30	1	TEX30	
BTBD18	1	BTBD18	
NCAPH2	1	NCAPH2	
BTBD16	1	BTBD16	
PBX3	1	PBX3	
PBX2	1	PBX2	
TEX35	1	TEX35	
BTBD11	1	BTBD11	
TEX36	1	TEX36	
PBX4	1	PBX4	
TEX38	1	TEX38	
BTBD10	1	BTBD10	
PBX1	1	PBX1	
NANOG	1	NANOG	
CRYBB2P1	1	CRYBB2P1	
NCAPG2	1	NCAPG2	
SNX12	1	SNX12	
SNX13	1	SNX13	
SNX10	1	SNX10	
JRKL	1	JRKL	
SNX11	1	SNX11	
IL18BP	1	IL18BP	
CASP12	1	CASP12	
CASP10	1	CASP10	
SLC18A2	1	SLC18A2	
SLC18A3	1	SLC18A3	
RING1	1	RING1	
TEX10	1	TEX10	
TEX11	1	TEX11	
TEX12	1	TEX12	
TEX14	1	TEX14	
TEX15	1	TEX15	
TEX19	1	TEX19	
PLSCR1	1	PLSCR1	
PLSCR3	1	PLSCR3	
PLSCR4	1	PLSCR4	
ATF7-NPFF	1	ATF7-NPFF	
SLC18B1	1	SLC18B1	
PAFAH1B3	1	PAFAH1B3	
PAFAH1B2	1	PAFAH1B2	
PAFAH1B1	1	PAFAH1B1	
ECHS1	1	ECHS1	
URM1	1	URM1	
SNX32	1	SNX32	
SNX33	1	SNX33	
SNX30	1	SNX30	
SNX31	1	SNX31	
NPM1P39	1	NPM1P39	
NPM1P37	1	NPM1P37	
RIDA	1	RIDA	
SNX29	1	SNX29	
SNX27	1	SNX27	
SNX25	1	SNX25	
CASP8AP2	1	CASP8AP2	
RIC3	1	RIC3	
SLF1	1	SLF1	
RIC1	1	RIC1	
SLF2	1	SLF2	
APEX2	1	APEX2	
SNX24	1	SNX24	
SNX21	1	SNX21	
SNX22	1	SNX22	
NPM1P29	1	NPM1P29	
NPM1P27	1	NPM1P27	
SNX18	1	SNX18	
GID4	1	GID4	
SNX19	1	SNX19	
MYBBP1A	1	MYBBP1A	
SNX16	1	SNX16	
SNX17	1	SNX17	
APEX1	1	APEX1	
SHKBP1	1	SHKBP1	
SNX14	1	SNX14	
GID8	1	GID8	
SNX15	1	SNX15	
PWWP3A	1	PWWP3A	
PWWP3B	1	PWWP3B	
NCAPD2	1	NCAPD2	
CIAPIN1	1	CIAPIN1	
NCAPD3	1	NCAPD3	
LY6K	1	LY6K	
ALDH1L1	1	ALDH1L1	
RIF1	1	RIF1	
TMEM167B	1	TMEM167B	
TMEM167A	1	TMEM167A	
LY75	1	LY75	
MAP3K7CL	1	MAP3K7CL	
ALDH1L2	1	ALDH1L2	
LAPTM4B	1	LAPTM4B	
LAPTM4A	1	LAPTM4A	
UROD	1	UROD	
TOM1	1	TOM1	
EIF2S3B	1	EIF2S3B	
SVIL2P	1	SVIL2P	
CTNNBIP1	1	CTNNBIP1	
SDCBP2	1	SDCBP2	
RINT1	1	RINT1	
NONOP2	1	NONOP2	
LY6D	1	LY6D	
AJUBA	1	AJUBA	
ARL8A	1	ARL8A	
ARL8B	1	ARL8B	
LY6E	1	LY6E	
GRIA1	1	GRIA1	
OR7E2P	1	OR7E2P	
LY96	1	LY96	
CREBL2	1	CREBL2	
PKMYT1	1	PKMYT1	
AMDHD1	1	AMDHD1	
AMDHD2	1	AMDHD2	
KIAA1522	1	KIAA1522	
TNFRSF17	1	TNFRSF17	
TNFRSF14	1	TNFRSF14	
IP6K1	1	IP6K1	
GRIA3	1	GRIA3	
IP6K3	1	IP6K3	
SAC3D1	1	SAC3D1	
GRIA4	1	GRIA4	
IP6K2	1	IP6K2	
HNRNPH1P1	1	HNRNPH1P1	
UROS	1	UROS	
UCKL1	1	UCKL1	
NOXA1	1	NOXA1	
TRIM72	1	TRIM72	
ZNF891	1	ZNF891	
TRIM73	1	TRIM73	
TRIM74	1	TRIM74	
ECE1	1	ECE1	
ARL5B	1	ARL5B	
KIAA1549	1	KIAA1549	
ARL5C	1	ARL5C	
TRIM68	1	TRIM68	
TRIM69	1	TRIM69	
ZNF888	1	ZNF888	
ARL5A	1	ARL5A	
TRIM65	1	TRIM65	
TRIM66	1	TRIM66	
ZNF883	1	ZNF883	
TRIM67	1	TRIM67	
TRIM61	1	TRIM61	
ZNF880	1	ZNF880	
TRIM62	1	TRIM62	
TRIM63	1	TRIM63	
GNRHR2	1	GNRHR2	
GRID1	1	GRID1	
OR7E7P	1	OR7E7P	
TNFRSF18	1	TNFRSF18	
TNFRSF19	1	TNFRSF19	
ARFGAP3	1	ARFGAP3	
TNFRSF1B	1	TNFRSF1B	
ARFGAP1	1	ARFGAP1	
ARFGAP2	1	ARFGAP2	
TNFRSF1A	1	TNFRSF1A	
ARL4C	1	ARL4C	
ARL4D	1	ARL4D	
ARL4A	1	ARL4A	
PCCA	1	PCCA	
NTAN1P2	1	NTAN1P2	
PCCB	1	PCCB	
ZNF879	1	ZNF879	
ZNF878	1	ZNF878	
TRIM58	1	TRIM58	
TNFRSF25	1	TNFRSF25	
TRIM59	1	TRIM59	
TOP1	1	TOP1	
ZNF875	1	ZNF875	
DCTPP1	1	DCTPP1	
TRIM54	1	TRIM54	
TNFRSF21	1	TNFRSF21	
TRIM55	1	TRIM55	
TRIM56	1	TRIM56	
CANT1	1	CANT1	
TRIM52	1	TRIM52	
CARNMT1	1	CARNMT1	
HM13	1	HM13	
SRBD1	1	SRBD1	
TRIM46	1	TRIM46	
UBQLN1	1	UBQLN1	
ZNF865	1	ZNF865	
RILP	1	RILP	
UBQLN4	1	UBQLN4	
ZNF862	1	ZNF862	
TRIM44	1	TRIM44	
TRIM45	1	TRIM45	
UBQLN2	1	UBQLN2	
ZNF860	1	ZNF860	
TRIM41	1	TRIM41	
TXNL1	1	TXNL1	
CABLES1	1	CABLES1	
PDPK2P	1	PDPK2P	
KIAA0232	1	KIAA0232	
TM6SF1	1	TM6SF1	
EFR3B	1	EFR3B	
CABLES2	1	CABLES2	
TM6SF2	1	TM6SF2	
DBNDD1	1	DBNDD1	
DBNDD2	1	DBNDD2	
TRIM39	1	TRIM39	
UBQLNL	1	UBQLNL	
TRIM35	1	TRIM35	
TRIM36	1	TRIM36	
TRIM37	1	TRIM37	
TRIM38	1	TRIM38	
ZNF853	1	ZNF853	
ZNF852	1	ZNF852	
TRIM32	1	TRIM32	
TRIM33	1	TRIM33	
ZNF850	1	ZNF850	
TRIM34	1	TRIM34	
TNFRSF6B	1	TNFRSF6B	
THSD7B	1	THSD7B	
ECI1	1	ECI1	
RFESD	1	RFESD	
ECI2	1	ECI2	
MTFR1L	1	MTFR1L	
IPO8P1	1	IPO8P1	
EFR3A	1	EFR3A	
RINL	1	RINL	
TRIM28	1	TRIM28	
TRIM29	1	TRIM29	
TRIM24	1	TRIM24	
TRIM25	1	TRIM25	
ARL16	1	ARL16	
TRIM26	1	TRIM26	
THSD7A	1	THSD7A	
TRIM27	1	TRIM27	
TRIM21	1	TRIM21	
TRIM22	1	TRIM22	
TRIM23	1	TRIM23	
ARL10	1	ARL10	
GIN1	1	GIN1	
ARL15	1	ARL15	
ECH1	1	ECH1	
TMEM170B	1	TMEM170B	
TMEM170A	1	TMEM170A	
AGKP1	1	AGKP1	
SLPI	1	SLPI	
TRIM17	1	TRIM17	
PNLDC1	1	PNLDC1	
ARHGAP19-SLIT1	1	ARHGAP19-SLIT1	
TRIM13	1	TRIM13	
TRIM14	1	TRIM14	
RIN3	1	RIN3	
TRIM16	1	TRIM16	
RIN1	1	RIN1	
RIN2	1	RIN2	
TP53	1	TP53	
TRIM11	1	TRIM11	
CHCHD2P6	1	CHCHD2P6	
GIPR	1	GIPR	
ACTR3B	1	ACTR3B	
TTBK1	1	TTBK1	
TTBK2	1	TTBK2	
ACTR3C	1	ACTR3C	
APELA	1	APELA	
SYNGR1	1	SYNGR1	
SYNGR2	1	SYNGR2	
HLTF	1	HLTF	
SARAF	1	SARAF	
B4GALNT1	1	B4GALNT1	
B4GALNT3	1	B4GALNT3	
PCK1	1	PCK1	
B4GALNT2	1	B4GALNT2	
LYAR	1	LYAR	
B4GALNT4	1	B4GALNT4	
PCK2	1	PCK2	
FER1L5	1	FER1L5	
HARS1	1	HARS	
PHETA2	1	PHETA2	
FER1L4	1	FER1L4	
SPHKAP	1	SPHKAP	
NBEAL1	1	NBEAL1	
NBEAL2	1	NBEAL2	
FER1L6	1	FER1L6	
HARS2	1	HARS2	
PHETA1	1	PHETA1	
POLA1	1	POLA1	
POLA2	1	POLA2	
NAP1L4P1	1	NAP1L4P1	
PFN1P11	1	PFN1P11	
TP73	1	TP73	
HERPUD2	1	HERPUD2	
COX7B	1	COX7B	
ECM1	1	ECM1	
ECM2	1	ECM2	
HIBADH	1	HIBADH	
GRIK5	1	GRIK5	
GRIK3	1	GRIK3	
GRIK4	1	GRIK4	
GRIK2	1	GRIK2	
MTMR9LP	1	MTMR9LP	
COX7C	1	COX7C	
HERPUD1	1	HERPUD1	
ACTR1A	1	ACTR1A	
PCM1	1	PCM1	
ACTR1B	1	ACTR1B	
PCLO	1	PCLO	
RBM17P4	1	RBM17P4	
NMRK1	1	NMRK1	
CNTRL	1	CNTRL	
HYDIN2	1	HYDIN2	
SETP20	1	SETP20	
MCF2L2	1	MCF2L2	
GIT1	1	GIT1	
ATPAF2	1	ATPAF2	
COX8A	1	COX8A	
COX8C	1	COX8C	
TOX4	1	TOX4	
TOX2	1	TOX2	
SLTM	1	SLTM	
SLU7	1	SLU7	
ATPAF1	1	ATPAF1	
PCNA	1	PCNA	
GPALPP1	1	GPALPP1	
FITM1	1	FITM1	
NOXO1	1	NOXO1	
FITM2	1	FITM2	
COX5B	1	COX5B	
COX5A	1	COX5A	
H1-12P	1	HIST1H1PS1	
PCNP	1	PCNP	
SLX4	1	SLX4	
ORMDL2	1	ORMDL2	
ORMDL3	1	ORMDL3	
SEC14L1P1	1	SEC14L1P1	
SLX9	1	FAM207A	
PCNT	1	PCNT	
GIT2	1	GIT2	
TMEM176B	1	TMEM176B	
TMEM176A	1	TMEM176A	
ORMDL1	1	ORMDL1	
COX6C	1	COX6C	
YIF1A	1	YIF1A	
GRIN1	1	GRIN1	
YIF1B	1	YIF1B	
RIT1	1	RIT1	
SEC23IP	1	SEC23IP	
ACTR10	1	ACTR10	
IL18R1	1	IL18R1	
GRINA	1	GRINA	
NUP188	1	NUP188	
HNRNPA1P66	1	HNRNPA1P66	
OR2W6P	1	OR2W6P	
GRIP1	1	GRIP1	
NPM1P13	1	NPM1P13	
SPINK4	1	SPINK4	
TMOD1	1	TMOD1	
PCID2	1	PCID2	
SPINK1	1	SPINK1	
FBXW10	1	FBXW10	
FBXW11	1	FBXW11	
TMOD4	1	TMOD4	
TMOD3	1	TMOD3	
HNRNPA1P53	1	HNRNPA1P53	
TMOD2	1	TMOD2	
TTC7B	1	TTC7B	
TTC7A	1	TTC7A	
GRIP2	1	GRIP2	
PCP4	1	PCP4	
LYG1	1	LYG1	
POLG2	1	POLG2	
COX19	1	COX19	
BHLHB9	1	BHLHB9	
COX16	1	COX16	
COX15	1	COX15	
COX18	1	COX18	
COX17	1	COX17	
NUP160	1	NUP160	
TIMM50	1	TIMM50	
SEC22B3P	1	SEC22B3	
COX11	1	COX11	
COX14	1	COX14	
CYTL1	1	CYTL1	
ECT2	1	ECT2	
COX10	1	COX10	
CNTLN	1	CNTLN	
SETP17	1	SETP17	
HNRNPA1P35	1	HNRNPA1P35	
AUTS2	1	AUTS2	
NUP155	1	NUP155	
SETP14	1	SETP14	
HNRNPA1P33	1	HNRNPA1P33	
PCIF1	1	PCIF1	
NUP153	1	NUP153	
TIMM44	1	TIMM44	
USB1	1	USB1	
SEC22B2P	1	SEC22B2	
MKRN1	1	MKRN1	
CNTN1	1	CNTN1	
MKRN2	1	MKRN2	
RSPH14	1	RSPH14	
CNTN2	1	CNTN2	
MKRN3	1	MKRN3	
CNTN3	1	CNTN3	
CNTN4	1	CNTN4	
COX20	1	COX20	
SWSAP1	1	SWSAP1	
TTC26	1	TTC26	
TNFAIP8	1	TNFAIP8	
TTC23	1	TTC23	
TNFAIP6	1	TNFAIP6	
TTC22	1	TTC22	
TNFAIP2	1	TNFAIP2	
RPSAP6	1	RPSAP6	
TNFAIP3	1	TNFAIP3	
PCTP	1	PCTP	
RPSAP5	1	RPSAP5	
RPSAP4	1	RPSAP4	
TNFAIP1	1	TNFAIP1	
USE1	1	USE1	
RPSAP9	1	RPSAP9	
TTC27	1	TTC27	
RPSAP8	1	RPSAP8	
TTC28	1	TTC28	
FYCO1	1	FYCO1	
LYL1	1	LYL1	
RPSAP3	1	RPSAP3	
GUSBP9	1	GUSBP9	
